candidate name,amount raised
"GRISKIE, CHRISTIN NOEL",0.0
"PIERCE, DAVIS",0.0
"GOELLNER, JOSHUA JAMES",0.0
"CADY, JOSHUA SCOTT",0.0
"GUILLAUME, GREGORY MARK",0.0
"PLOEGER, JEREMY LEE",0.0
"ALVAREZ, KENNETH MR. JR.",0.0
"SHANNON, MICHAEL PATRICK",0.0
"GEIGER, MATTHEW",0.0
"IWACHIW, WALTER N",0.0
"GLASER, DANIEL G",0.0
"DUNBAR, MARK OWEN MR",0.0
"LUNGO, ROBERT FRANCIS",0.0
"WARLORD STOCK, LUTHER T. THE MERCILESS LIEUTENANT RIDICULOUS",0.0
"ZELAYA, DANNY",0.0
"MCCALL, BENSON MR",0.0
"VAN DUREN, GABRIEL ELIAS",0.0
"TSE, FELIX MR.",0.0
"MOOREHEAD, MONICA GAIL",0.0
"BEATTY, KEVIN WILLIAM",0.0
"KOELLNER, ERIC A.",0.0
"SAGARIBAY, JEREMY DIEGO MR.",0.0
"FRANZE, JOSEPH BRIAN",0.0
"WOOLSEY, JAMES CURTIS",0.0
"DUPUIS, RAYMOND LEE",0.0
"FLAHERTY, FINN MR.",0.0
"BILLINGS-ELIAS, CHRISTINA GERASIMOS",0.0
"BARBINE, MICHAEL W.",0.0
"POTATO, PAUL Y MR.",0.0
"BENTIVOLIO, KERRY",0.0
"KAUFHOLD, LAWRENCE ROBERT ALPHA OMEGA",0.0
"HYDROX, COOKIE",0.0
"ROBERTS, CLIFTON LEE MR.",0.0
"NEWMAN, DAN POE MR",0.0
"CLEMENTS, THOMAS PATRICK",0.0
"CEDENO, ALBERTO A1 MR.",0.0
"WYSINGER, DEMETRA JEFFERSON",0.0
"SMITH, MICHAEL LYNN",0.0
"SINGLETON, MONROE PIERCE",0.0
"GOD, FOR PRESIDENT",0.0
"ADAMS III, PHILIP MONROE",0.0
"AUBIN, MARK-CHRISTIAN ANTHONY MR",0.0
"PATER, JEROEN",0.0
"WATSON, ANTONIO SR",0.0
"BARZ, MICHAEL THOMAS MR.",0.0
"NIKLAWSKI, ANDREW",0.0
"HANCOCK, JONATHAN RAY 'JOHN'",0.0
"CALDWELL, SCOTT PIPER LTC (R)",0.0
"BARKE, JOSEPH ISAAC MR.",0.0
"WADE, ASHTON",0.0
"LAWRENCE-OSORIO, NIISA",0.0
"DAVID, ABRAHAM JOSEPH MR",0.0
"MARADIANOS, PETE",0.0
"CASTLE, DARRELL LANE",0.0
"JACKSON, DENNY CARROLL",0.0
"MORRIS, LAIO CHANTELLE",0.0
"KNOLL, JOHN JR",0.0
"ADAMS, PAUL R",0.0
"ANGRA, KRISH",0.0
"NORWOOD, QUINON MARVIN MR. IV",0.0
"DUNHAM, KEENAN WALLACE",0.0
"LUCKETT, ANTHONY",0.0
"ZEMAN, HEIDI KRISTEL UHLHORN O''BRIEN",0.0
"CARREON, EMILIO",0.0
"KNOLL, JACK",0.0
"OSTROW, BEN",0.0
"LICE, SOME",0.0
"MOYOWASIFSA-CURRY, SEDINAM KINAMO CHRI",0.0
"GREENSTEIN, MARK STEWART",0.0
"PROCTOR, DONALD MR. JR.",0.0
"SPEARS, LINDA MARIMARIE",0.0
"HALL JR, THO D.",0.0
"DRACULEA, VLAD BESERIUS",0.0
"KENNELLY, KRISTEN",0.0
"GANSEN, CHRISTOPHER JOHN",0.0
"HAWES, CALVIS L",0.0
"MORRISSEY, JOHN FRENCH MR.",0.0
"HOPKINS, RICHARD PAUL",0.0
"SHWARTZ, FELIPE",0.0
"SMITH, WILLIAM ROGER",0.0
"MACY, EDWARD MR",0.0
"MCDOWELL, ALYSSA DARA MS.",0.0
"ARENA, ROBERT JOSEPH MR. JR.",0.0
"GRAY-OR ELSE JUST HOSANNA, JESSE OLIVE",0.0
"DOUCETTE, DAVID LEE",0.0
"RODNE, ERIK J.",0.0
"THOMAS, MARY MS",0.0
"MITRO, CHRISTOPHER FRANCIS",0.0
"KELLEY, DAVID",0.0
"SUDDUTH, PAUL ALLEN MR. II",0.0
"NAYLOR, KATIE D",0.0
"ABLO, ANDY",0.0
"FAMILONI, TAIWO JACOB",0.0
"HARRIS, ARTHUR MICHAEL",0.0
"LOWE, DONALD EUGENE",0.0
"WELLS, THOMAS BAXTER",0.0
"WINTERBOTTOM, THOMAS FRANCIS",0.0
"ASHE, WARREN RODERICK ",0.0
"WALLACE, WILLIAM LEONARD",0.0
"WORTHY, HOWARD",0.0
"HOWARD, MILDRED (MILLIE)",0.0
"LEE, ROBERT",0.0
"RUNDBERG, JIM L",0.0
"SINGLETON, KEITH",0.0
"NEVEU, DEONIA P",0.0
"WILLIAMS, KENT LIONEL",0.0
"DENAME, MICHAEL JR",0.0
"RAMOS, LUIS ALBERTO JR",0.0
"DUMMETT, JOHN ALBERT JR",0.0
"CHEHADE, PAUL",0.0
"TITTLE, SHEILA ""SAMM""",0.0
"HUNT, EUGENE ROSELL JR",0.0
"DAY, TIM (TEXAS SLIM)",0.0
"LAX MILLER, LORETTA",0.0
"JUDY, CODY ROBERT",0.0
"STRICKLAND, TIMMY WAYNE",0.0
"LOPEZ, AURORA",0.0
"STORY, RICKEY JOE",0.0
"ELGAR, MISS BETSY PAULINE",0.0
"JONES, TERRY DR",0.0
"GLORE, TODD RICHARD",0.0
"CHRISTENSON, DAVID ANDREW",0.0
"WHEELOCK, TERRY WAYNE",0.0
"MENARD, ROLAND DURPHY III",0.0
"JULIUS, TYRONE ",0.0
"STONE, DR DAMIAN",0.0
"SLOAN, SAM",0.0
"BAKER, JACOB",0.0
"HOLCOMB, DAVID CHRISTOPHER",0.0
"JACOB-FAMBRO, PRINCESS KHADIJAH M PRES",0.0
"SANDERA, ROBERT WILLIAM",0.0
"SHREFFLER, DOUG",0.0
"OGIN, FREDERICK EUGENE",0.0
"MCDOWELL, EDDIE",0.0
"MOLLENHOUR, GRADY DEAN REV JR",0.0
"ROSENBERGER, PAUL RUSSELL",0.0
"CAVANAGH, ERIC SCOTT",0.0
"DEAN, DANIEL LANE",0.0
"ALLEN, JAMES PRESSLEY",0.0
"JENKINS, MICHAEL DWAYNE",0.0
"BROWN, SAMMY MUREL",0.0
"KALEMKARIAN, TIMOTHY CHARLES",0.0
"CVOROVIC, JANKA",0.0
"LAROSE, JOSUE",0.0
"COLE, BRIAN ARI DR",0.0
"JACOBSON, STEVEN D",0.0
"KINLAW, MICHAEL WAYNE",0.0
"ZEIGER, CHARLES EDWIN",0.0
"STEVENS, SHERLENE",0.0
"TAPE , PAUL EDWARD JR",0.0
"CROTZER, EZEKIEL GEORGE",0.0
"RUSSELL, BRIAN PATRICK KETTERER",0.0
"LLOYD, JUNE LA'GAY",0.0
"HENDRIX, DAVID QUINN",0.0
"DILLON, STEVE ALLEN",0.0
"JOHNSON, BARRY L",0.0
"HUBBELL, MICHAEL WAYNE",0.0
"LEONARD, JERRY L",0.0
"DUTTER, MARK JOSEPH",0.0
"SOPKOVICH, NICHOLAS ALEXANDER",0.0
"CAMPBELL, JOHNNIE C",0.0
"CLARK, BRITTANY LAUREN",0.0
"DEBOW, MR PAUL W",0.0
"SCHIESS, JOHN T",0.0
"CANNADAY, PAUL BENJAMIN-DIELMAN",0.0
"WALKER, DORIS V",0.0
